2016-12-26 10:22:26:559: Application Version: 2.2.3.0 built Jan 1, 2010 3:00 am UTC
2016-12-26 10:22:26:559: Microsoft Windows 7 Ultimate Service Pack 1
2016-12-26 10:22:26:559: 6.01 build 7601 Service Pack 1
2016-12-26 10:22:26:559: Username: pablo
2016-12-26 10:22:26:559: =============================================================================
2016-12-26 10:22:26:559: Installation ID: cfb1a8e7-00c8-4dee-b07a-832a15d00d32
2016-12-26 10:22:30:506: Monitoring driver installed
2016-12-26 10:22:39:866: DumpPath: C:\Users\pablo\AppData\Local\Temp\<AppName>-1470776260.dmp
2016-12-26 10:22:39:866: Looking for in-progress session...
2016-12-26 10:22:39:866: MachineID: 769CE0D0-851A-400C-89B5-75C11341717D
2016-12-26 10:22:39:866: InstallationID: CFB1A8E7-00C8-4DEE-B07A-832A15D00D32
2016-12-26 10:22:39:866: Initializing user interface...
2016-12-26 10:22:42:549: Checking registration state...
2016-12-26 10:22:45:840: This version of AVG Driver Updater is unregistered.
2016-12-26 10:22:48:149: Comparing driver data from last session...
2016-12-26 10:22:48:836: Creating tray icon...
2016-12-26 10:22:48:836: Survey check...
2016-12-26 10:22:48:836: Not registered?
2016-12-26 10:22:48:867: AppStartFromBootCount: 2
2016-12-26 10:22:48:867: OnProcessEvent...missing track
2016-12-26 10:22:48:867: OnProcessEvent...missing track
2016-12-26 10:22:48:882: OnProcessEvent...missing track
2016-12-26 10:22:49:397: strVersionData: 2.2.2.0|2.0.4096.996
2016-12-26 10:22:55:843: OnProcessEvent...missing track
2016-12-26 10:22:56:092: OnProcessEvent...missing track
2016-12-26 10:22:56:903: OnProcessEvent...missing track
2016-12-26 10:23:01:537: OnProcessEvent...missing track
2016-12-26 10:23:01:537: OnProcessEvent...missing track
2016-12-26 10:23:01:537: OnProcessEvent...missing track
2016-12-26 10:23:01:537: OnProcessEvent...missing track
2016-12-26 10:23:01:537: OnProcessEvent...missing track
2016-12-26 10:23:01:537: OnProcessEvent...missing track
2016-12-26 10:23:18:463: OnProcessEvent...missing track
2016-12-26 10:23:18:463: OnProcessEvent...missing track
2016-12-26 10:23:18:977: OnProcessEvent...missing track
2016-12-26 10:23:28:322: OnProcessEvent...missing track
2016-12-26 10:23:53:875: OnProcessEvent...missing track
2016-12-26 10:23:53:875: OnProcessEvent...missing track
2016-12-26 10:24:04:030: OnProcessEvent...missing track
2016-12-26 10:24:09:038: OnProcessEvent...missing track
2016-12-26 10:24:21:518: OnProcessEvent...missing track
2016-12-26 10:24:53:108: OnProcessEvent...missing track
2016-12-26 10:24:58:198: OnProcessEvent...missing track
2016-12-26 10:25:10:304: OnProcessEvent...missing track
2016-12-26 10:25:11:349: OnProcessEvent...missing track
2016-12-26 10:25:11:349: OnProcessEvent...missing track
2016-12-26 10:25:11:349: OnProcessEvent...missing track
2016-12-26 10:25:15:561: OnProcessEvent...missing track
2016-12-26 10:25:15:561: OnProcessEvent...missing track
2016-12-26 10:27:28:097: OnProcessEvent...missing track
2016-12-26 10:27:52:696: OnProcessEvent...missing track
2016-12-26 10:27:58:999: OnProcessEvent...missing track
2016-12-26 10:30:02:946: OnProcessEvent...missing track
2016-12-26 10:30:04:896: OnProcessEvent...missing track
2016-12-26 10:30:05:098: OnProcessEvent...missing track
2016-12-26 10:31:07:877: OnProcessEvent...missing track
2016-12-26 10:31:07:877: OnProcessEvent...missing track
2016-12-26 10:31:08:641: OnProcessEvent...missing track
2016-12-26 10:31:30:232: OnProcessEvent...missing track
2016-12-26 10:32:16:033: OnProcessEvent...missing track
2016-12-26 10:32:17:110: OnProcessEvent...missing track
2016-12-26 10:32:17:141: OnProcessEvent...missing track
2016-12-26 10:32:17:141: OnProcessEvent...missing track
2016-12-26 10:32:17:157: OnProcessEvent...missing track
2016-12-26 10:32:22:523: OnProcessEvent...missing track
2016-12-26 10:32:22:523: OnProcessEvent...missing track
2016-12-26 10:33:37:221: OnProcessEvent...missing track
2016-12-26 10:33:37:221: OnProcessEvent...missing track
2016-12-26 10:33:37:221: OnProcessEvent...missing track
2016-12-26 10:33:42:485: OnProcessEvent...missing track
2016-12-26 10:33:42:485: OnProcessEvent...missing track
2016-12-26 10:37:02:695: OnProcessEvent...missing track
2016-12-26 10:42:05:668: OnProcessEvent...missing track
2016-12-26 10:42:05:668: OnProcessEvent...missing track
2016-12-26 10:43:07:901: OnProcessEvent...missing track
2016-12-26 10:43:07:901: OnProcessEvent...missing track
2016-12-26 10:45:12:163: OnProcessEvent...missing track
2016-12-26 10:46:06:404: OnProcessEvent...missing track
2016-12-26 10:47:45:309: OnProcessEvent...missing track
2016-12-26 10:48:00:862: OnProcessEvent...missing track
2016-12-26 10:49:07:054: OnProcessEvent...missing track
2016-12-26 10:49:58:175: OnProcessEvent...missing track
2016-12-26 10:50:33:298: OnProcessEvent...missing track
2016-12-26 10:51:23:086: OnProcessEvent...missing track
2016-12-26 10:51:29:670: OnProcessEvent...missing track
2016-12-26 10:51:30:669: OnProcessEvent...missing track
2016-12-26 10:51:32:986: OnProcessEvent...missing track
2016-12-26 10:51:57:930: OnProcessEvent...missing track
2016-12-26 10:52:40:478: OnProcessEvent...missing track
2016-12-26 10:53:00:727: OnProcessEvent...missing track
2016-12-26 10:54:14:647: OnProcessEvent...missing track
2016-12-26 10:54:15:708: OnProcessEvent...missing track
2016-12-26 10:54:47:492: OnProcessEvent...missing track
2016-12-26 10:55:00:783: OnProcessEvent...missing track
2016-12-26 10:55:00:783: OnProcessEvent...missing track
2016-12-26 10:55:23:026: OnProcessEvent...missing track
2016-12-26 10:55:24:071: OnProcessEvent...missing track
2016-12-26 10:55:25:178: OnProcessEvent...missing track
2016-12-26 10:55:26:317: OnProcessEvent...missing track
2016-12-26 10:55:27:518: OnProcessEvent...missing track
2016-12-26 10:55:29:780: OnProcessEvent...missing track
2016-12-26 10:55:31:013: New device: {5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp\7&1704cc16
2016-12-26 10:55:31:013: NOT a USB device
2016-12-26 10:55:31:091: New device: {5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp\7&1704cc16
2016-12-26 10:55:31:091: NOT a USB device
2016-12-26 10:55:46:481: OnProcessEvent...missing track
2016-12-26 10:55:46:481: OnProcessEvent...missing track
2016-12-26 10:56:10:020: OnProcessEvent...missing track
2016-12-26 10:56:10:020: OnProcessEvent...missing track
